,index,name,price,mileage,ex_color,in_color,drivetrain,mpg,fuel_type,transmission,engine
0,0,2019 Honda Accord Sport,27995,27995, White , Red , Front-wheel Drive ,29–35,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
1,1,2018 Porsche Macan ,41998,41998, Gray , Black , All-wheel Drive ,20–25,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
2,2,2015 Chevrolet Corvette Stingray Z51,52000,52000, Velocity Yellow Tinted Clearcoat , Black , Rear-wheel Drive ,17–29,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV
3,3,2020 Jeep Grand Cherokee Overland,41998,41998, Ivory , Sepia / Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
4,4,2017 Ford Mustang GT Premium,29995,29995, Ingot Silver Metallic , Ebony w/Metal Gray Stitch , Rear-wheel Drive ,15–25,Gasoline ,Automatic,Engine: 5.0L Ti-VCT V8
5,5,2016 Jeep Grand Cherokee Limited,26499,26499, Granite Crystal Clearcoat Metallic , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
6,6,2018 Jeep Grand Cherokee High Altitude,39944,39944, Diamond Black , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
7,7,2021 Ford F-150 Raptor,123500,123500, Gray , Blue , Four-wheel Drive ,14–18,Gasoline Fuel ,Transmission w/Dual Shift Mode,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel
8,8,2019 GMC Yukon Denali,61974,61974, Onyx Black , Jet Black , Four-wheel Drive ,14–22,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV
9,9,2022 Kia Telluride SX,54500,54500, Gray , Beige , All-wheel Drive ,19–24,Gasoline Fuel ,8-Speed A/T,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel
10,10,2018 Jeep Wrangler Unlimited Sport,36277,36277, Mojito! Clearcoat , Black , Four-wheel Drive ,17–23,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
11,11,2015 Toyota 4Runner Limited,33050,33050, Blizzard Pearl , Sand Beige , Rear-wheel Drive ,17–22,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
12,12,2020 Toyota Camry SE,33677,33677, White , White , Front-wheel Drive ,28–39,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
13,13,2016 INFINITI Q50 3.0T Red Sport 400,28900,28900, Gray , Graphite , Rear-wheel Drive ,19–28,Gasoline ,7-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
14,14,2017 Ford F-150 Raptor,56999,56999, Black , Black , Four-wheel Drive ,15–18,Gasoline Fuel ,10-Speed A/T,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel
15,15,2013 Lexus GS 350 Base,16990,16990, Gray , Black , Rear-wheel Drive ,19–28,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC
16,16,2021 Mitsubishi Mirage ES,15165,15165, Mystic Black Metallic , Black , Front-wheel Drive ,None,Gasoline ,Automatic CVT,1.2L I3 12V MPFI DOHC
17,17,2022 Subaru Outback Touring,39747,39747, Crystal White Pearl , Java Brown , All-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC
18,18,2017 Lexus ES 350 Base,29500,29500, Black , Beige , Front-wheel Drive ,21–30,Gasoline Fuel ,A/T,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel
19,19,2021 Toyota Land Cruiser ,97900,97900, Black , – , Four-wheel Drive ,13–17,Gasoline ,8-Speed Automatic,5.7L V8 32V MPFI DOHC
20,0,2017 BMW M3 Base,53789,53789, Gray , Sakhir Orange , Rear-wheel Drive ,17–26,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Twin Turbo
21,1,2011 Toyota Avalon Limited,8999,8999, Gray , Beige , Front-wheel Drive ,20–29,Gasoline Fuel ,6-Speed A/T,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel
22,2,2020 Ford Mustang EcoBoost Premium,30223,30223, Race Red , Ebony , Rear-wheel Drive ,20–28,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo
23,3,2019 Audi A7 3.0T Prestige,62750,62750, Daytona Gray Pearl Effect , Black , All-wheel Drive ,22–29,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo
24,4,2019 Acura ILX Technology & A-Spec,24995,24995, Blue , Red , Front-wheel Drive ,24–34,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC
25,5,2019 Subaru Outback 3.6R Touring,32900,32900, Crystal White Pearl , Java Brown , All-wheel Drive ,20–27,Gasoline ,Automatic CVT,3.6L H6 24V MPFI DOHC
26,6,2018 Nissan Frontier S,29997,29997, Glacier White , Steel , Four-wheel Drive ,21,Gasoline ,5-Speed Automatic with Overdrive,4.0L V6 DOHC
27,7,2020 Lamborghini Urus Base,280000,280000, Blu Astraeus Metallic , Nero Ade , All-wheel Drive ,12–17,Gasoline ,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
28,8,2014 Nissan Leaf SL,15990,15990, Black , Black , Front-wheel Drive ,0–0,Electric Fuel System ,A/T,107.0HP Electric Motor Electric Fuel System
29,9,2017 Nissan Rogue SV,24688,24688, Brilliant Silver , Charcoal , All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC
30,10,2017 Chevrolet Silverado 1500 LTZ,37991,37991, Black , Black , Four-wheel Drive ,None,Gasoline ,8-Speed Automatic with Overdrive,5.3L V8 16V GDI OHV
31,11,2021 GMC Yukon Denali,89888,89888, Smokey Quartz Metallic , Dark Walnut/Very Dark Ash Gray , Four-wheel Drive ,14–19,Gasoline ,10-SPEED A/T,8 Cylinder Engine
32,12,2021 Mitsubishi Mirage ES,15185,15185, Starlight Silver Metallic , Black , Front-wheel Drive ,None,Gasoline ,Automatic CVT,1.2L I3 12V MPFI DOHC
33,13,2020 Acura MDX 3.5L,39420,39420, Gunmetal Metallic , Ebony , Front-wheel Drive ,20–27,Gasoline ,Automatic,Premium Unleaded V-6 3.5 L/212
34,14,2020 Jeep Grand Cherokee Limited,34750,34750, Black , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
35,15,2015 BMW X5 M Base,45950,45950, White , Mugello Red , All-wheel Drive ,14–19,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo
36,16,2019 Honda CR-V EX,31074,31074, Molten Lava , Black , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
37,17,2020 Ford Edge Sport,44500,44500, White , – , All-wheel Drive ,19–26,Gasoline ,Automatic,Twin Turbo Premium Unleaded V-6 2.7 L/166
38,18,2017 Kia Sorento LX,21006,21006, Ebony Black , Satin Black , All-wheel Drive ,18–25,Gasoline ,6-Speed Automatic,3.3L V6 24V GDI DOHC
39,19,2021 Lexus ES 350 F Sport,48377,48377, Obsidian Black , Red , Front-wheel Drive ,22–31,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
40,0,2020 Kia Telluride EX,46801,46801, Gravity Gray , Black , All-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC
41,1,2016 Honda Civic Touring,24998,24998, Black , Gray , Front-wheel Drive ,31–41,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
42,2,2020 Ford Mustang EcoBoost Premium,27993,27993, Race Red , Ebony , Rear-wheel Drive ,21–30,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo
43,3,2019 Audi A7 3.0T Prestige,64450,64450, Daytona Gray Pearl Effect , Pearl Beige , All-wheel Drive ,22–29,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo
44,4,2020 Toyota Corolla LE,22115,22115, Barcelona Red Metallic , Black , Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC
45,5,2020 Bentley Continental GT V8,274900,274900, Onyx Metallic , Hotspur , All-wheel Drive ,16–26,Gasoline ,8-Speed Automatic with Auto-Shift,4.0L V8 32V GDI DOHC Twin Turbo
46,6,2021 Tesla Model Y Performance,76492,76492, Deep Blue Metallic , White / Black , All-wheel Drive ,115–106,Electric ,1-Speed Automatic,Electric
47,7,2020 Kia Telluride EX,37400,37400, Ebony Black , Black , Front-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC
48,8,2017 Volkswagen Golf Alltrack TSI S,19500,19500, Silk Blue Metallic , Titan Black , All-wheel Drive ,22–30,Gasoline ,6-Speed Automatic with Auto-Shift,1.8L I4 16V GDI DOHC Turbo
49,9,2016 Honda Accord EX-L,24993,24993, Gray , – , Front-wheel Drive ,27–37,Gasoline ,CVT,4 Cylinder Engine
50,10,2020 Honda HR-V LX,19999,19999, Gray , Gray , All-wheel Drive ,27–31,Gasoline ,Automatic CVT,1.8L I4 16V MPFI SOHC
51,11,2021 Genesis G70 3.3T,46980,46980, Himalayan Gray , Black / Red , Rear-wheel Drive ,17–26,Gasoline ,8-Speed Automatic,3.3L V6 24V GDI DOHC Twin Turbo
52,12,2018 Honda Accord LX,25982,25982, Platinum White Pearl , Gray , Front-wheel Drive ,30–38,Gasoline ,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91
53,13,2012 Ford Escape XLT,7200,7200, Green , Black , Front-wheel Drive ,21–28,Flex Fuel Capability ,A/T,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability
54,14,2017 Honda Civic LX,19741,19741, White , Black / Ivory , Front-wheel Drive ,31–40,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC
55,15,2016 Toyota 4Runner SR5 Premium,32999,32999, Magnetic Gray Metallic , Black / Graphite , Four-wheel Drive ,17–21,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
56,16,2007 Porsche 911 Turbo,89888,89888, Black , Brown , All-wheel Drive ,17–25,Gasoline Fuel ,5-Speed A/T,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel
57,17,2009 Maserati GranTurismo S,32900,32900, Black , Red , Rear-wheel Drive ,None,Gasoline ,6-Speed Automatic with Overdrive,4.7L V8 32V MPFI DOHC
58,18,2014 Mercedes-Benz CLS-Class CLS 550 4MATIC,24735,24735, White , Black , All-wheel Drive ,18–25,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo
59,19,2019 Mercedes-Benz GLS 450 Base 4MATIC,53523,53523, Gray , Black , All-wheel Drive ,16–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
60,0,2020 Ford Mustang EcoBoost Premium,30883,30883, Magnetic Metallic , Ebony , Rear-wheel Drive ,20–28,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo
61,1,2016 Land Rover Range Rover 3.0L Turbocharged Diesel HSE Td6,39995,39995, White , Beige , Four-wheel Drive ,22–28,Diesel Fuel ,8-Speed A/T,254.0HP 3.0L V6 Cylinder Engine Diesel Fuel
62,2,2021 GMC Acadia SLE,34479,34479, Satin Steel Metallic , Cocoa , Front-wheel Drive ,21–27,Gasoline ,9-Speed Automatic,2.5L I4 16V GDI DOHC
63,3,2019 Jeep Grand Cherokee Limited,42590,42590, Diamond Black , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
64,4,2016 Toyota 4Runner ,35194,35194, Blue , – , Four-wheel Drive ,17–21,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
65,5,2018 Chevrolet Suburban LT,40750,40750, Silver Ice Metallic , Black , Four-wheel Drive ,15–22,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV
66,6,2021 Nissan GT-R Premium,149999,149999, Bayside Blue , Gray , All-wheel Drive ,16–22,Gasoline ,6-Speed Automatic with Auto-Shift,3.8L V6 24V MPFI DOHC Twin Turbo
67,7,2020 Acura TLX A-Spec,33745,33745, Platinum White Pearl , Red , Front-wheel Drive ,23–32,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC
68,8,2018 Porsche Panamera ,69998,69998, Black , Gray , – ,21,Gasoline ,8-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo
69,9,2019 Toyota 4Runner Limited,36893,36893, Magnetic Gray Metallic , Black Graphite , Four-wheel Drive ,17–20,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
70,10,2006 Maserati Quattroporte Executive GT,18777,18777, Gray , Avorio , Rear-wheel Drive ,12–15,Gasoline ,6-Speed Automatic with Auto-Shift,4.2L V8 32V MPFI DOHC
