,index,name,price,mileage,drivetrain,mpg,fuel_type,transmission,engine,zipcode,oneowner,personal_use
0,0,2018 Mercedes-Benz GLS 550 Base 4MATIC,53972,46616, All-wheel Drive ,14–19,Gasoline ,9-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,32808,0,1
1,1,2022 Audi RS 6 Avant 4.0T quattro,158999,3954, All-wheel Drive ,None,Gasoline ,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,32771,1,1
2,2,2006 Porsche Boxster S,22980,62523, Rear-wheel Drive ,19–27,Gasoline ,5-Speed Automatic,3.2L H6 24V MPFI DOHC,98133,0,1
3,3,2020 Mercedes-Benz C-Class C 300 4MATIC,39906,14935, All-wheel Drive ,23–33,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,32124,0,0
4,4,2018 Aston Martin DB11 V12,138300,24280, Rear-wheel Drive ,15–21,Gasoline ,8-Speed Automatic,5.2L V12 48V GDI DOHC Twin Turbo,98005,1,1
5,5,2022 Jeep Grand Cherokee L Limited,49495,4343, Four-wheel Drive ,None,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,98036,3,3
6,6,2015 Hyundai Genesis 5.0,23998,71968, Rear-wheel Drive ,15–23,Gasoline ,8-Speed Automatic,5.0L V8 32V GDI DOHC,32807,0,1
7,7,2017 Acura NSX Base,153943,8685, All-wheel Drive ,21–22,Hybrid ,9-Speed Automatic with Auto-Shift,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,32811,0,1
8,8,2021 Audi e-tron Premium,62998,21616, All-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,32904,3,3
9,9,2018 Volvo V90 T6 Inscription,56998,11050, All-wheel Drive ,22–31,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC,98057,3,3
10,10,2016 BMW 328d xDrive,22999,95638, All-wheel Drive ,30–40,Diesel ,8-Speed Automatic,2.0L I4 16V DDI DOHC Turbo Diesel,98011,3,3
11,11,2014 Maserati Quattroporte S Q4,26950,70980, All-wheel Drive ,15–24,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,32114,3,3
12,12,2017 Ford Transit-250 Base,43995,15641, Rear-wheel Drive ,None,– ,6-Speed Automatic,3.7L V6 24V MPFI DOHC,34715,1,0
13,13,2016 BMW M2 Base,46792,21731, Rear-wheel Drive ,18–26,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Turbo,98005,0,1
14,14,2018 Mercedes-Benz AMG S 63 Base 4MATIC,87900,53088, All-wheel Drive ,17–26,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,32901,0,1
15,15,2014 Subaru BRZ Limited,20999,92899, Rear-wheel Drive ,22–30,Gasoline ,6-Speed Manual,2.0L H4 16V PDI DOHC,98032,0,1
16,16,2005 Toyota 4Runner Limited,12500,225000, 4WD ,17–21,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,32801,3,3
17,17,2015 BMW 328 Gran Turismo i xDrive,21995,34324, All-wheel Drive ,22–33,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,98072,0,1
18,18,2006 Volkswagen Touareg V6,8999,60674, Four-wheel Drive ,16–21,Gasoline ,6-Speed Automatic,3.2L V6 24V MPFI DOHC,32822,1,1
19,19,2020 Mercedes-Benz C-Class C 300 4MATIC,40799,17388, All-wheel Drive ,23–33,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,32822,1,1
20,0,2006 Volkswagen Touareg V6,8999,60674, Four-wheel Drive ,16–21,Gasoline ,6-Speed Automatic,3.2L V6 24V MPFI DOHC,32822,1,1
21,1,2010 Nissan Rogue SL,9299,96315, All-wheel Drive ,21–26,Gasoline ,A,4 Cylinder Engine,98371,3,3
22,2,2020 BMW 330 i,36741,37843, Rear-wheel Drive ,26–36,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,32124,0,0
23,3,2022 INFINITI QX55 SENSORY,55817,14933, All-wheel Drive ,22–28,Gasoline ,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,32124,1,1
24,4,2022 Lexus ES 350 F Sport,48000,5660, Front-wheel Drive ,None,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,32819,1,1
25,5,2007 Porsche Cayman S,31930,66100, Rear-wheel Drive ,20–28,Gasoline ,–,3.4L H6 24V MPFI DOHC,98409,0,1
26,6,2022 Rivian R1T Adventure Package,114850,1369, All-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,98229,1,0
27,7,2017 Tesla Model X 100D,77999,35057, All-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,32822,1,0
28,8,2009 GMC Sierra 2500 SLE,29999,97372, Four-wheel Drive ,None,Diesel ,6-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel,98520,3,3
29,9,2014 Kia Optima Hybrid LX,9991,131965, Front-wheel Drive ,36–40,Hybrid ,6-Speed Automatic,2.4L I4 16V MPFI DOHC Hybrid,98036,3,3
30,10,2021 Volkswagen Passat 2.0T R-Line,30998,19168, Front-wheel Drive ,24–36,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,32822,3,3
31,11,2014 Rolls-Royce Wraith Base,168999,21634, Rear-wheel Drive ,13–21,Gasoline ,8-Speed Automatic,6.6L V12 48V GDI DOHC Twin Turbo,32809,3,3
32,12,2017 Honda HR-V EX,20998,102100, Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.8L I4 16V MPFI SOHC,32904,3,3
33,13,2020 Mercedes-Benz C-Class C 300,49222,10856, Rear-wheel Drive ,22–31,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,32839,1,1
34,14,2015 Land Rover Range Rover 3.0L Supercharged HSE,39995,56302, Four-wheel Drive ,17–23,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,32809,1,1
35,15,2016 Ford Explorer Limited,21977,112891, Four-wheel Drive ,16–23,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,98221,0,0
36,16,2007 Porsche Cayman Base (M5),25880,78668, Rear-wheel Drive ,23–32,Gasoline ,5-Speed Manual,2.7L H6 24V MPFI DOHC,98032,0,0
37,17,2011 Hyundai Sonata Hybrid Base,14995,63793, Front-wheel Drive ,34–39,Hybrid ,6-Speed Automatic,2.4L I4 16V MPFI DOHC Hybrid,98580,0,1
38,18,2013 Mercedes-Benz M-Class ML 350,24995,59289, All-wheel Drive ,18–23,Gasoline ,Automatic,3.5L DOHC DI 24-valve V6 engine,98034,1,1
39,19,2018 Lexus NX 300 F-SPORT,28998,105132, AWD ,22,Gasoline ,6-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,32822,3,3
40,0,2017 BMW M3 Base,60995,18045, Rear-wheel Drive ,17–26,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Twin Turbo,98005,3,3
41,1,2017 BMW M3 Base,59888,39934, Rear-wheel Drive ,17–26,Gasoline ,6-Speed Manual,3.0L I6 24V GDI DOHC Twin Turbo,98037,0,1
42,2,2021 Mitsubishi Outlander PHEV GT,33995,12691, Four-wheel Drive ,None,Hybrid ,1-Speed Automatic,2.4L I4 16V MPFI DOHC Hybrid,32822,1,1
43,3,2016 Lexus LX 570 Base,66995,41419, Four-wheel Drive ,13–18,Gasoline ,8-Speed Automatic,5.7L V8 32V MPFI DOHC,98225,3,3
44,4,2017 INFINITI Q50 Hybrid Base,30880,26251, All-wheel Drive ,26–30,Hybrid ,7-Speed Automatic,3.5L V6 24V MPFI DOHC Hybrid,98004,3,3
45,5,2020 Jeep Grand Cherokee Summit,51100,13876, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV,98032,0,1
46,6,2021 Mercedes-Benz AMG E 63 S 4MATIC,112599,5790, All-wheel Drive ,16–23,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,32811,1,1
47,7,2014 Kia Sedona LX,12988,73227, Front-wheel Drive ,17–24,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,98033,1,0
48,8,2007 Toyota Highlander W/3RD ROW NATL,10999,137915, All-wheel Drive ,18–24,Gasoline ,5-Speed Automatic,3.3L V6 24V MPFI DOHC,98387,3,3
49,9,2016 Maserati Ghibli Base,28995,39264, Rear-wheel Drive ,17–24,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,32771,0,0
50,10,2013 Hyundai Genesis Coupe 2.0T R-Spec,13995,106027, Rear-wheel Drive ,21–30,Gasoline ,6-Speed Manual,2.0L I4 16V MPFI DOHC Turbo,32809,0,1
51,11,2004 Nissan Maxima ,5995,163682, Front-wheel Drive ,20–28,Gasoline ,5-Speed Automatic,3.5L V6 24V MPFI DOHC,34748,3,3
52,12,2013 Lotus Evora 2+2,64950,13989, Rear-wheel Drive ,18–26,Gasoline ,6-Speed Manual,3.5L V6 24V MPFI DOHC,32839,0,1
53,13,2019 Lincoln MKC Select,29500,26073, All-wheel Drive ,19–25,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,32750,1,1
54,14,2021 Lexus GX 460 Base,58452,8999, Four-wheel Drive ,15–19,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC,98271,1,1
55,15,2017 Chevrolet Express 2500 Work Van,26998,104667, Rear-wheel Drive ,0–0,Gasoline ,6-SPEED A/T,8 Cylinder Engine,98002,1,0
56,16,2019 Lexus RC 300 300,42998,11119, All-wheel Drive ,18–24,Gasoline ,6-Speed Automatic,3.5L V6 24V PDI DOHC,17050,0,1
57,17,2021 Lincoln Aviator Black Label AWD,73755,22521, All-wheel Drive ,17–24,Gasoline ,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,32804,1,1
58,18,2020 Lexus ES 350 Luxury,43030,32386, Front-wheel Drive ,22–32,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,85206,1,1
59,19,2015 Volkswagen Jetta 1.8T SE,14481,79314, Front-wheel Drive ,25–37,Gasoline ,6-Speed Automatic,1.8L I4 16V GDI DOHC Turbo,98366,0,1
60,0,2021 Audi Q5 e 55 Premium,57981,10085, All-wheel Drive ,None,Hybrid ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Hybrid,32904,1,1
61,1,2014 Maserati Ghibli Base,22911,73885, Rear-wheel Drive ,15–25,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,98125,0,1
62,2,2012 BMW 650 i,28988,83769, Rear-wheel Drive ,15–22,Gasoline ,6-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,98122,3,3
63,3,2014 Mitsubishi Lancer ES,9999,83949, Front-wheel Drive ,25–34,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC,98168,0,1
64,4,2021 Audi RS Q8 4DR 4.0 TFSI QTRO,143755,10969, All-wheel Drive ,13–19,Gasoline ,Automatic,Twin Turbo Premium Unleaded V-8 4.0 L/244,06492,0,1
65,5,2020 Mercedes-Benz C-Class C 300,54999,4172, Rear-wheel Drive ,21–29,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,32809,1,1
66,6,2019 Jaguar F-TYPE Base,49488,46220, Rear-wheel Drive ,23–30,Gasoline ,Automatic,I4,32952,0,0
67,7,2014 BMW ActiveHybrid 5 Base,23995,74477, RWD ,23–30,Hybrid ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo Hybrid,98057,0,1
68,8,2016 BMW X5 M Base,51995,60550, All-wheel Drive ,14–19,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,98225,3,3
69,9,2020 Honda Accord Touring 2.0T,26911,20902, Front-wheel Drive ,22–32,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,59901,3,3
70,10,2020 BMW X7 M50i,85990,19069, All-wheel Drive ,15–21,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,32771,1,1
71,11,2012 Land Rover Range Rover Sport HSE,10984,85504, Four-wheel Drive ,13–18,Gasoline ,6-Speed Automatic,5.0L V8 32V GDI DOHC,34475,3,3
72,12,2016 Chrysler 300C Base,21999,59895, Rear-wheel Drive ,19–31,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,32952,0,0
73,13,2021 Toyota Highlander LE,35995,28441, Front-wheel Drive ,21–29,Gasoline ,Automatic,Regular Unleaded V-6 3.5 L/211,32811,1,1
74,14,1994 Ferrari 348 ,71880,26536, – ,None,Gasoline ,Manual,–,98034,0,1
75,15,2020 Mercedes-Benz AMG C 63 S,84995,24824, Rear-wheel Drive ,17–26,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,32901,0,1
76,16,2020 Mercedes-Benz AMG C 63 S,87995,9018, Rear-wheel Drive ,17–26,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,32771,1,1
77,17,2021 RAM 1500 Big Horn,40999,11876, Four-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,32822,1,0
78,18,2014 Subaru BRZ Premium,15997,87776, Rear-wheel Drive ,22–30,Gasoline ,6-Speed Manual,2.0L H4 16V PDI DOHC,98204,3,3
79,0,2021 Nissan Maxima SV,28099,18655, Front-wheel Drive ,20–30,Gasoline ,Automatic CVT,3.5L V6 24V GDI DOHC,98409,1,0
80,1,2004 Lamborghini Gallardo ,89995,46214, All-wheel Drive ,9–15,Gasoline ,6-Speed Manual,5.0L V10 50V MPFI DOHC,32811,0,1
81,2,2011 Ford Taurus Limited,12688,42138, Front-wheel Drive ,18–27,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,32904,0,1
82,3,2019 Lexus RX 450hL Premium,44995,25451, All-wheel Drive ,29–28,Hybrid ,Automatic CVT,3.5L V6 24V PDI DOHC Hybrid,32822,1,1
83,4,2020 Hyundai Santa Fe SEL 2.4,27756,45118, Front-wheel Drive ,22–29,Gasoline ,8-Speed Automatic,2.4L I4 16V GDI DOHC,43125,1,1
84,5,2018 Honda Civic EX,21499,85279, Front-wheel Drive ,31–40,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,32810,1,1
85,6,2021 Lincoln Navigator Reserve,87943,3361, Four-wheel Drive ,16–20,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,32804,1,1
86,7,2019 MINI Clubman Cooper,24972,41090, Front-wheel Drive ,24–33,Gasoline ,6-Speed Automatic,1.5L I3 12V GDI DOHC Turbo,32808,1,1
87,8,2022 BMW X3 M AWD,79631,4986, All-wheel Drive ,15–20,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Twin Turbo,98271,1,1
88,9,2021 Lexus LS 500 LS 500,76599,9709, Rear-wheel Drive ,18–29,Gasoline ,Automatic,Engine: 3.5L V6 DOHC 24-Valve Twin-Turbo -inc: dual Variable Val,34787,3,3
89,10,2019 BMW X5 xDrive40i,52051,47389, All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,46804,1,1
90,11,2019 Ford Fusion Titanium,24998,56267, All-wheel Drive ,20–29,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,98057,3,3
